Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1870.930276
FDW14,OUT017,1413.972182
NCN55,OUT010,1890.568605
FDQ58,OUT017,2570.822578
FDY38,OUT027,5073.199935
FDH56,OUT046,1963.060389
FDL48,OUT018,635.1040741
FDC48,OUT027,2823.299835
FDN33,OUT045,1512.392732
FDA36,OUT017,3079.931525
FDT44,OUT017,1994.581288
FDQ56,OUT045,1353.411226
NCC54,OUT019,1780.361653
FDU11,OUT049,2056.920417
DRL59,OUT013,856.804571
FDM24,OUT049,2536.570856
FDI57,OUT045,3397.006027
DRC12,OUT018,2843.467525
NCM42,OUT027,3211.588223
FDA46,OUT010,1109.621445
FDA31,OUT013,2779.943425
NCJ31,OUT035,3881.637041
FDG52,OUT046,767.8778144
NCL19,OUT019,370.2799791
FDS10,OUT035,3049.239052
FDX22,OUT010,1450.305922
NCF19,OUT035,959.4213148
NCE06,OUT046,2545.425975
DRC27,OUT046,3812.713733
FDE21,OUT035,2049.254638
NCR42,OUT019,1371.451583
FDX51,OUT018,2822.433168
NCR06,OUT018,469.5159908
FDU31,OUT027,4958.64972
FDU59,OUT017,2695.677593
FDR03,OUT027,4705.09201
FDS49,OUT027,2765.38232
FDD48,OUT010,35.50832521
NCF18,OUT017,3088.51968
NCD43,OUT027,3120.573617
NCD54,OUT018,2024.514401
FDY19,OUT010,17.38472637
NCY54,OUT017,2752.528638
NCL19,OUT018,2070.468866
FDP23,OUT010,1554.40912
FDC26,OUT013,1786.346237
FDR14,OUT010,1135.978025
NCS41,OUT035,3033.086836
FDF41,OUT035,3981.894212
FDU34,OUT046,2037.971079
DRH11,OUT046,944.456051
FDM03,OUT013,1661.51941
FDS31,OUT017,3013.573937
FDJ20,OUT017,2091.320103
FDV44,OUT027,4504.232416
FDG02,OUT049,3099.261989
FDA09,OUT013,2921.177644
FDT04,OUT013,588.1856281
FDL58,OUT019,2219.569837
FDE52,OUT045,1403.436466
FDW12,OUT035,2527.04771
FDL51,OUT017,3450.596368
NCY42,OUT027,3705.604028
FDR07,OUT017,1680.952826
FDN40,OUT045,2327.719995
FDB35,OUT027,2999.411842
FDA22,OUT017,2927.972484
NCL06,OUT046,4124.128756
FDI35,OUT013,2940.163675
NCW42,OUT045,3437.537682
NCX06,OUT049,2944.390565
FDC37,OUT027,3233.063005
FDZ14,OUT018,1662.66994
DRG49,OUT049,3985.711531
NCG06,OUT045,3982.719075
DRC36,OUT045,2802.983738
FDV21,OUT019,23.63633257
FDB53,OUT046,2315.809511
DRP47,OUT019,1934.193153
FDA14,OUT013,2229.554552
DRC24,OUT035,2664.17562
FDW21,OUT018,1418.453381
NCH29,OUT046,1579.627835
FDU58,OUT013,3037.860988
FDY27,OUT017,2836.473747
FDV56,OUT035,1999.666798
FDT59,OUT046,3683.331229
FDB23,OUT046,3694.094683
FDR49,OUT045,714.7585184
FDB03,OUT010,1786.139975
FDN39,OUT045,2621.189279
FDX02,OUT027,4903.574397
FDQ16,OUT027,3156.768769
FDU35,OUT018,1361.542485
NCT29,OUT013,1935.615446
FDZ27,OUT046,797.7641584
FDN57,OUT017,2339.929263
FDA03,OUT018,2034.796377
FDZ36,OUT045,2941.373669
NCU05,OUT013,1305.975076
FDT39,OUT018,2149.577136
FDK60,OUT017,1696.908452
FDZ25,OUT017,2822.099712
FDG12,OUT046,1999.000581
